LectureID;DateKey;FromTimeKey;UntilTimeKey;ClassKey;SubgroupKey;RoomKey;ActivityKey;UserCount;TotalStudents;FullDate;NameDayDutch;NameMonthDutch;Weekday;Month;Year;DayOfYear;NumberSemester;Season;StartHour;StartMinutes;StartSeconds;StartTime;StartAMPM;EndHour;EndMinutes;EndSeconds;EndTime;EndAMPM;CanonicalActivity;ActivityDomain;ActivityGroup;SourceColumn;SourceValue;IsCourse;IsExam;IsAcademicEvent;IsGuestLecture;IsMakeUp;IsPractical;IsPresentation;IsDigitalPossible;ClassName;ClassCode;ClassCredits;ClassSecondChance;ClassProgramStage;SubgroupCode;ProgramName;Building;RoomFloor;RoomCode;RoomName;RoomCategory;Capacity;Area;Stakingsdag
451961;20260223;133000;153000;3852;5900004;1122;2;NULL;17;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1B1;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
451961;20260223;133000;153000;3852;6140699;1122;2;NULL;3;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/VT/BKT/1;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
450649;20260421;133000;153000;5360;5754069;1580;2;NULL;61;2026-04-21;Tuesday;April;3;4;2026;111;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Onderzoeksvaardigheden II;194786;4;1;1;PBA-BM-KM/1A;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450650;20260428;133000;153000;5360;5754069;1580;2;NULL;61;2026-04-28;Tuesday;April;3;4;2026;118;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Onderzoeksvaardigheden II;194786;4;1;1;PBA-BM-KM/1A;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450651;20260505;133000;153000;5360;5754069;1580;2;NULL;61;2026-05-05;Tuesday;May;3;5;2026;125;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Onderzoeksvaardigheden II;194786;4;1;1;PBA-BM-KM/1A;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450652;20260512;133000;153000;5360;5754069;1580;2;NULL;61;2026-05-12;Tuesday;May;3;5;2026;132;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Onderzoeksvaardigheden II;194786;4;1;1;PBA-BM-KM/1A;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450653;20260519;133000;153000;5360;5754069;1580;2;NULL;61;2026-05-19;Tuesday;May;3;5;2026;139;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Onderzoeksvaardigheden II;194786;4;1;1;PBA-BM-KM/1A;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450922;20260211;133000;153000;5355;5797603;1580;2;NULL;54;2026-02-11;Wednesday;February;4;2;2026;42;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Economie;194781;4;1;1;PBA-BM-KM/1D;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
451961;20260223;133000;153000;3852;5777010;1122;2;NULL;25;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1A;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
451961;20260223;133000;153000;3852;5777345;1122;2;NULL;25;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1C;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
451961;20260223;133000;153000;3852;5893269;1122;2;NULL;16;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1B2;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
451139;20260519;133000;153000;10790;6069980;1614;2;NULL;56;2026-05-19;Tuesday;May;3;5;2026;139;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Frans;201026;5;1;1;PBA-BM-KM/1C;PBA-BM-KM;2;2;01.02.120.012;GSCHB.2.012;leslokaal;52;73.68;0
